apple,りんご
banana,バナナ
cherry,さくらんぼ
dog,犬
cat,猫
elephant,象
abandon,〜を捨てる、見捨てる
abundant,豊富な、あり余る
accomodate,〜を収容する、〜に適応させる
accumulate,〜を蓄積する、積もる
ambiguous,曖昧な、2つ以上の意味に取れる
apprehend,〜を逮捕する、〜を理解する
authentic,本物の、信頼できる
bizarre,奇妙な、風変わりな
coincide,同時に起きる、一致する
compel,〜に強いる
comprehend,〜を理解する
contradict,〜と矛盾する、〜を否定する
crucial,決定的な、極めて重要な
deduce,〜を推論する、演繹する
deliberate,意図的な、慎重な
deprive,〜から奪う
deteriorate,悪化する
diminish,減少する、〜を減らす
discrete,別々の、個別の
elaborate,手の込んだ、詳細に述べる
eliminate,〜を取り除く、排除する
empirical,経験的な、経験主義の
endure,〜に耐える、持続する
evaluate,〜を評価する
exaggerate,〜を誇張する
exceed,〜を超える、上回る
explicit,明白な、明確な
fluctuate,変動する、上下する
frustrate,〜を挫折させる、イライラさせる
genuine,本物の、心からの
hypothesis,仮説
ignite,〜に火をつける、発火する
implement,〜を実行する、実装する
imply,〜をほのめかす、暗示する
inevitable,避けられない、必然の
inherit,〜を受け継ぐ、相続する
initiate,〜を始める、着手する
integrate,〜を統合する、融合する
intervene,介入する、干渉する
intrinsic,本来備わっている、本質的な
manipulate,〜を操作する、操る
obscure,無名の、不明瞭な
obsolete,時代遅れの、廃れた
perceive,〜を知覚する、気づく
persist,固執する、持続する
plausible,もっともらしい、妥当な
precede,〜に先行する、〜より先に起こる
prohibit,〜を禁止する
provoke,〜を引き起こす、怒らせる
random,無作為の、ランダムな
reluctant,気が進まない、しぶしぶの
resemble,〜に似ている
restrict,〜を制限する
retain,〜を保持する、保つ
rigid,厳格な、硬い
scarce,乏しい、不十分な
simulate,〜を模擬する、シミュレートする
spontaneous,自発的な、自然発生的な
substitute,〜を代用する、代用品
sustain,〜を維持する、支える
tangible,触れられる、明白な
terminate,〜を終わらせる、終結する
tolerate,〜を許容する、我慢する
transparent,透明な、明白な
unanimous,全会一致の
undergo,〜を経験する、受ける
utilize,〜を利用する、活用する
validate,〜の正当性を立証する、有効にする
vague,曖昧な、ぼんやりした
verify,〜を検証する、確かめる
versatile,多才な、用途が広い
viable,実行可能な、生存に適した
vital,極めて重要な、生命の
yield,〜を産出する、屈する
